id,region,year,manufacturer,model,odometer,title_status,transmission,VIN,state,lat,long
7302727462,san luis obispo,2012.0,honda,accord,194240.0,clean,automatic,1HGCP2F75CA117730,ca,35.122159,-120.626169
7301605431,santa barbara,2012.0,honda,accord se sedan 4d,101362.0,clean,other,1HGCP2F63CA214366,ca,33.7865,-84.4454
7315638101,santa maria,2012.0,honda,accord sdn,62095.0,clean,automatic,1HGCP2F62CA105378,ca,35.339728,-119.029217
7316588646,SF bay area,2012.0,honda,accord,112369.0,clean,automatic,1HGCP2F86CA084763,ca,37.323637,-121.908626
7316430197,SF bay area,2012.0,honda,accord ex sedan,95000.0,clean,automatic,,ca,37.9823,-122.0362
7316398871,SF bay area,2012.0,honda,accord ex,145708.0,salvage,automatic,,ca,38.347,-122.6941
7316010974,SF bay area,2012.0,honda,accord,130741.0,clean,automatic,,ca,37.3072,-121.936
7316535809,stockton,2012.0,honda,accord cpe ex,58385.0,clean,automatic,1HGCS1B77CA004845,ca,38.610767,-121.422557
7315980830,stockton,2012.0,honda,accord,137968.0,clean,automatic,1HGCS1B3XCA019689,ca,38.628015,-121.401179
7315960421,stockton,2012.0,honda,accord,123727.0,clean,automatic,1HGCP2F61CA134337,ca,38.628015,-121.401179
7311724159,stockton,2012.0,honda,accord,67000.0,clean,automatic,1HGCP2F38CA155806,ca,38.615505,-121.27169
7306474158,stockton,2012.0,honda,accord,122000.0,clean,automatic,,ca,38.039371,-121.260481
7316040864,ventura county,2012.0,honda,accord,63600.0,clean,automatic,,ca,34.154952,-118.950159
7315635265,visalia-tulare,2012.0,honda,accord sdn,62095.0,clean,automatic,1HGCP2F62CA105378,ca,35.339728,-119.029217
7307518404,yuba-sutter,2012.0,honda,accord cpe ex,58385.0,clean,automatic,1HGCS1B77CA004845,ca,38.610767,-121.422557
7306317617,boulder,2012.0,honda,accord,127634.0,clean,automatic,1HGCP3F85CA014872,co,40.182151,-105.102373
7304746552,colorado springs,2012.0,honda,accord,99230.0,clean,automatic,JTHKD5BH3C2058754,co,39.740286,-105.04986
7315778836,denver,2012.0,honda,accord ex-l v6,127634.0,clean,automatic,1HGCP3F85CA014872,co,40.182151,-105.102373
7315214171,denver,2012.0,honda,accord,162280.0,clean,automatic,,co,39.610702,-104.949013
7309789449,fort collins / north CO,2012.0,honda,accord,202000.0,clean,automatic,,co,40.2993,-105.1055
7305141336,fort collins / north CO,2012.0,honda,accord,127634.0,clean,automatic,1HGCP3F85CA014872,co,40.182151,-105.102373
7312489840,high rockies,2012.0,honda,accord,110500.0,clean,automatic,,co,38.843888,-106.12928
7307166218,high rockies,2012.0,honda,accord,79715.0,clean,automatic,,co,39.945,-105.8172
7313789557,eastern CT,2012.0,honda,accord se 4dr sedan,120009.0,clean,automatic,1HGCP2F64CA120755,ct,40.89333,-74.164125
7307877334,hartford,2012.0,honda,accord ex,192000.0,clean,automatic,,ct,41.759945,-72.686914
7314708483,new haven,2012.0,honda,accord ex-l navi,117586.0,clean,automatic,,ct,41.326766,-72.778884
7313789440,new haven,2012.0,honda,accord,120009.0,clean,automatic,1HGCP2F64CA120755,ct,40.89333,-74.164125
7307608053,new haven,2012.0,honda,accord ex-l navi,117586.0,clean,automatic,,ct,41.326766,-72.778884
7306130050,new haven,2012.0,honda,accord,165151.0,clean,automatic,1HGCP2F37CA011597,ct,41.197651,-73.20814
7315279091,"washington, DC",2012.0,honda,accord lx,102205.0,clean,automatic,,dc,38.7894,-77.2818
7314367069,"washington, DC",2012.0,honda,accord exl,115000.0,clean,automatic,1HGCP2F86CA167786,dc,38.9053,-77.0466
7316217666,delaware,2012.0,honda,accord se 4dr sedan,120009.0,clean,automatic,1HGCP2F64CA120755,de,40.89333,-74.164125
7310302617,daytona beach,2012.0,honda,accord sdn,95727.0,clean,automatic,1HGCP2F39CA236569,fl,28.647059,-81.352268
7303648766,ft myers / SW florida,2012.0,honda,accord,78615.0,clean,automatic,1HGCP2F69CA145327,fl,27.26977,-82.48229
7314260614,gainesville,2012.0,honda,accord,126000.0,clean,automatic,,fl,29.770834,-82.283186
7315430941,jacksonville,2012.0,honda,accord,145125.0,clean,automatic,,fl,30.2687,-81.7473
7310837080,jacksonville,2012.0,honda,accord,114307.0,clean,automatic,,fl,30.286603,-81.553709
7314261184,north central FL,2012.0,honda,accord,126000.0,clean,automatic,,fl,29.770834,-82.283186
7314750352,ocala,2012.0,honda,accord,127000.0,clean,automatic,,fl,29.770834,-82.283186
7311284486,ocala,2012.0,honda,accord,127000.0,clean,automatic,,fl,29.770834,-82.283186
7315357291,orlando,2012.0,honda,accord,127949.0,clean,automatic,1HGCP2F4XCA133816,fl,28.480227,-81.295559
7314001670,orlando,2012.0,honda,accord sdn,147902.0,clean,automatic,1HGCP2F45CA225948,fl,28.647059,-81.352268
7312768160,orlando,2012.0,honda,accord ex-l v6,109479.0,clean,automatic,1HGCS2B80CA005964,fl,28.564649,-81.299016
7312640490,orlando,2012.0,honda,accord ex-l,162000.0,parts only,automatic,,fl,28.3051,-81.4242
7308681963,sarasota-bradenton,2012.0,honda,accord coupe,147382.0,clean,automatic,1HGCS2B80CA011506,fl,27.473591,-82.570679
7308210570,sarasota-bradenton,2012.0,honda,accord,135745.0,clean,automatic,,fl,27.266027,-82.516651
7315671985,south florida,2012.0,honda,accord exl,138791.0,clean,automatic,,fl,26.52003,-80.138397
7314540397,south florida,2012.0,honda,accord,124.0,salvage,automatic,,fl,25.8936,-80.3539
7303618742,athens,2012.0,honda,accord,186445.0,clean,automatic,,ga,34.1124,-83.9965
7316712848,atlanta,2012.0,honda,accord sedan,0.0,clean,automatic,1HGCP3F72CA003674,ga,33.90051,-84.27707
7316687568,atlanta,2012.0,honda,accord,97767.0,clean,automatic,1HGCP2F30CA069759,ga,33.8332,-84.6031
7316668440,atlanta,2012.0,honda,accord,98214.0,clean,automatic,,ga,33.9845,-84.1529
7316458632,atlanta,2012.0,honda,accord,30504.0,clean,automatic,,ga,33.854648,-84.281293
7316435216,atlanta,2012.0,honda,accord ex-l,165000.0,clean,automatic,1HGCP2F80CA183840,ga,33.985707,-83.988436
7316219065,atlanta,2012.0,honda,accord,146000.0,clean,automatic,,ga,34.0025,-84.4633
7313897430,savannah / hinesville,2012.0,honda,accord coupe,165293.0,clean,automatic,1HGCS1B80CA000080,ga,36.88042,-108.180553
7310894214,savannah / hinesville,2012.0,honda,accord ex-l,116000.0,clean,automatic,,ga,32.1082,-81.1746
7303714585,savannah / hinesville,2012.0,honda,accord coupe,165293.0,clean,automatic,1HGCS1B80CA000080,ga,36.88042,-108.180553
7306933013,bloomington-normal,2012.0,honda,accord,121500.0,clean,automatic,,il,40.4783,-88.9893
7316768354,chicago,2012.0,honda,accord lx-p,70316.0,clean,automatic,1HGCP2F45CA012580,il,41.55,-87.4569
7315520312,chicago,2012.0,honda,accord ex-l,88000.0,clean,automatic,,il,41.7328,-88.1282
7315059604,chicago,2012.0,honda,accord,96515.0,clean,automatic,,il,41.7662,-88.141
7314688529,chicago,2012.0,honda,accord lx,90000.0,rebuilt,automatic,,il,42.282,-87.856
7305424334,"quad cities, IA/IL",2012.0,honda,accord sdn,115335.0,clean,automatic,1HGCP2F49CA225970,il,41.970512,-91.669785
7313587945,"st louis, MO",2012.0,honda,accord,83724.0,clean,automatic,1HGCP2F31CA196083,il,38.7378,-90.6234
7312603767,"st louis, MO",2012.0,honda,accord,115000.0,clean,automatic,,il,38.5937,-90.2537
7310817631,fort wayne,2012.0,honda,accord se,140873.0,clean,automatic,1HGCP2F6XCA012320,in,41.366954,-85.133958
7313982513,south bend / michiana,2012.0,honda,accord se,127455.0,clean,automatic,,in,41.754,-86.2509
7310283476,south bend / michiana,2012.0,honda,accord,95920.0,clean,automatic,1HGCP2F85CA186667,in,41.66553,-86.249468
7309206580,south bend / michiana,2012.0,honda,accord,95920.0,clean,automatic,1HGCP2F85CA186667,in,41.66553,-86.249468
7307751723,south bend / michiana,2012.0,honda,accord se,106422.0,clean,automatic,,in,41.7436,-86.2501
7307651937,south bend / michiana,2012.0,honda,accord,95920.0,clean,automatic,1HGCP2F85CA186667,in,41.66553,-86.249468
7307131878,south bend / michiana,2012.0,honda,accord,95920.0,clean,automatic,1HGCP2F85CA186667,in,41.66553,-86.249468
7302782755,south bend / michiana,2012.0,honda,accord,95920.0,clean,automatic,1HGCP2F85CA186667,in,41.66553,-86.249468
7305418996,cedar rapids,2012.0,honda,accord sdn,115335.0,clean,automatic,1HGCP2F49CA225970,ia,41.970512,-91.669785
7311048640,des moines,2012.0,honda,accord lx,86672.0,clean,automatic,1HGCP2F31CA133016,ia,41.658523,-93.770027
7305429541,des moines,2012.0,honda,accord sdn,115335.0,clean,automatic,1HGCP2F49CA225970,ia,41.970512,-91.669785
7315942894,"kansas city, MO",2012.0,honda,accord 2-door coupe,85900.0,clean,automatic,,ks,38.8636,-94.7103
7308502901,lexington,2012.0,honda,accord ex,93774.0,clean,automatic,1HGCP2F71CA228811,ky,37.935804,-84.548292
7302821774,louisville,2012.0,honda,accord,116000.0,clean,automatic,,ky,38.259568,-85.550537
7314788598,monroe,2012.0,honda,accord lx-s,141000.0,clean,automatic,,la,32.513345,-92.113001
7310932147,new orleans,2012.0,honda,accord,140000.0,rebuilt,automatic,,la,29.9871,-90.1695
7315869921,maine,2012.0,honda,accord v6 exl,139730.0,clean,manual,,me,44.83432,-68.771067
7313245362,baltimore,2012.0,honda,accord,176817.0,clean,other,1HGCP2F67CA110379,md,39.433086,-76.343119
7310802675,baltimore,2012.0,honda,accord se 4dr sedan,126310.0,clean,automatic,1HGCP2F66CA214376,md,40.89333,-74.164125
7310077622,baltimore,2012.0,honda,accord,111061.0,clean,automatic,,md,39.3486,-76.6937
7309901166,baltimore,2012.0,honda,accord,176817.0,clean,other,1HGCP2F67CA110379,md,39.433086,-76.343119
7306166721,baltimore,2012.0,honda,accord,120009.0,clean,automatic,1HGCP2F64CA120755,md,40.89333,-74.164125
7303391284,baltimore,2012.0,honda,accord coupe,119223.0,clean,automatic,1HGCS2B83CA005151,md,39.318189,-76.608452
7312447550,eastern shore,2012.0,honda,accord ex-l,140100.0,clean,automatic,,md,38.3475,-75.1866
7315296711,boston,2012.0,honda,accord sdn,87973.0,clean,automatic,1HGCP2F34CA072714,ma,42.659124,-71.262458
7302581189,south coast,2012.0,honda,accord,90000.0,clean,automatic,,ma,41.64351,-71.054551
